Date,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds)
01/01/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1634.0
01/01/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1664.0
01/01/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1748.0
01/02/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1641.0
01/02/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1845.0
01/02/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1774.0
01/03/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1928.0
01/03/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1867.0
01/03/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1963.0
01/04/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1682.0
01/04/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1916.0
01/04/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2166.0
01/05/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1822.0
01/05/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2132.0
01/05/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1903.0
01/06/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1824.0
01/06/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2124.0
01/06/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1662.0
01/07/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2063.0
01/07/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1734.0
01/07/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1737.0
01/08/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1998.0
